"","Pathogen","Disease","Agegroup","Source","CostCategory","median","5%","95%"
"120","Campylobacter","Irritable bowel syndrome","65+","Vegetables","TotalHumanCapital",884331.045390708,67884.1762234912,2982584.13462557
"121","Campylobacter","Irritable bowel syndrome","<5","AllFood","TotalHumanCapital",6120825.71757205,3485023.64211067,10689117.2182916
"122","Campylobacter","Irritable bowel syndrome","<5","Beef","TotalHumanCapital",347487.607481405,56707.8318071349,1532801.69875561
"123","Campylobacter","Irritable bowel syndrome","<5","Crustaceans","TotalHumanCapital",0,0,0
"124","Campylobacter","Irritable bowel syndrome","<5","Dairy","TotalHumanCapital",339501.531571164,26702.0171482088,1330910.25797151
"125","Campylobacter","Irritable bowel syndrome","<5","Eggs","TotalHumanCapital",0,0,0
"126","Campylobacter","Irritable bowel syndrome","<5","Finfish","TotalHumanCapital",0,0,0
"127","Campylobacter","Irritable bowel syndrome","<5","Fruit","TotalHumanCapital",0,0,0
"128","Campylobacter","Irritable bowel syndrome","<5","Grains and seeds","TotalHumanCapital",0,0,0
"129","Campylobacter","Irritable bowel syndrome","<5","Lamb","TotalHumanCapital",250394.988330151,12349.3546492529,1157964.01397993
"130","Campylobacter","Irritable bowel syndrome","<5","Molluscs","TotalHumanCapital",0,0,0
"131","Campylobacter","Irritable bowel syndrome","<5","Nuts","TotalHumanCapital",0,0,0
"132","Campylobacter","Irritable bowel syndrome","<5","Other","TotalHumanCapital",608333.508044267,293.1394748698,1980553.65528139
"133","Campylobacter","Irritable bowel syndrome","<5","Pork","TotalHumanCapital",309471.421269862,26351.0316503784,1399513.02555951
"134","Campylobacter","Irritable bowel syndrome","<5","Poultry","TotalHumanCapital",4006376.60105806,1663678.53151642,7856930.89084332
"135","Campylobacter","Irritable bowel syndrome","<5","Vegetables","TotalHumanCapital",414184.152863075,31993.7472191597,1483566.70783568
"136","Campylobacter","Reactive arthritis","5-64","AllFood","TotalHumanCapital",51948748.3001595,25349989.8605508,101940838.134464
"137","Campylobacter","Reactive arthritis","5-64","Beef","TotalHumanCapital",2918647.33479045,452117.423687011,13991941.9179535
"138","Campylobacter","Reactive arthritis","5-64","Crustaceans","TotalHumanCapital",0,0,0
"139","Campylobacter","Reactive arthritis","5-64","Dairy","TotalHumanCapital",2816113.77412513,218437.171051787,12224100.7433906
"140","Campylobacter","Reactive arthritis","5-64","Eggs","TotalHumanCapital",0,0,0
"141","Campylobacter","Reactive arthritis","5-64","Finfish","TotalHumanCapital",0,0,0
"142","Campylobacter","Reactive arthritis","5-64","Fruit","TotalHumanCapital",0,0,0
"143","Campylobacter","Reactive arthritis","5-64","Grains and seeds","TotalHumanCapital",0,0,0
"144","Campylobacter","Reactive arthritis","5-64","Lamb","TotalHumanCapital",2084900.34770837,104015.07755209,10616772.31385
"145","Campylobacter","Reactive arthritis","5-64","Molluscs","TotalHumanCapital",0,0,0
"146","Campylobacter","Reactive arthritis","5-64","Nuts","TotalHumanCapital",0,0,0
"147","Campylobacter","Reactive arthritis","5-64","Other","TotalHumanCapital",5000462.73428979,2794.0915975801,18102976.0825415
"148","Campylobacter","Reactive arthritis","5-64","Pork","TotalHumanCapital",2579545.35141875,215772.898652198,12794700.2138128
"149","Campylobacter","Reactive arthritis","5-64","Poultry","TotalHumanCapital",33620077.2324821,12427088.3489288,74104445.9558392
