"","Measure","Pathogen","Disease","Agegroup","Source","median","5%","95%"
"95","Cases","Non-typhoidal Salmonella","Reactive arthritis","<5","Seeds and grains",20.9875681266857,5.30758968234381,56.1635890910065
"96","Cases","Non-typhoidal Salmonella","Reactive arthritis","<5","Shellfish",4.01925406775029,0.982635981066106,11.1326730406647
"97","Cases","Non-typhoidal Salmonella","Reactive arthritis","<5","Vegetables",111.922289253035,28.6937159348047,291.092075969622
"98","Cases","Non-typhoidal Salmonella","Reactive arthritis","<5","AllFood",1369.25919709413,359.583577478187,3386.64234590892
"99","Cases","Non-typhoidal Salmonella","Reactive arthritis","5-64","Beef",214.326669411919,52.9138940806812,593.196869527512
"100","Cases","Non-typhoidal Salmonella","Reactive arthritis","5-64","Dairy",39.1367787397416,9.81762486309995,105.890654471165
"101","Cases","Non-typhoidal Salmonella","Reactive arthritis","5-64","Eggs",1292.00282491117,329.689222383308,3370.91226379238
"102","Cases","Non-typhoidal Salmonella","Reactive arthritis","5-64","Fin fish",4.20819031335378,1.04563053485308,11.3259455841252
"103","Cases","Non-typhoidal Salmonella","Reactive arthritis","5-64","Fruit",85.6786906717136,20.4624905256718,252.332563340899
"104","Cases","Non-typhoidal Salmonella","Reactive arthritis","5-64","Lamb",174.701411643396,42.8226809035664,490.631080984233
"105","Cases","Non-typhoidal Salmonella","Reactive arthritis","5-64","Nuts",142.469638176692,33.8464716198185,421.201928433408
"106","Cases","Non-typhoidal Salmonella","Reactive arthritis","5-64","Other",61.3690041346576,15.5908119562927,161.362602023692
"107","Cases","Non-typhoidal Salmonella","Reactive arthritis","5-64","Pork",304.848092296611,74.3895344238229,858.18664913622
"108","Cases","Non-typhoidal Salmonella","Reactive arthritis","5-64","Poultry",835.119524289899,205.929921872033,2272.51980925332
"109","Cases","Non-typhoidal Salmonella","Reactive arthritis","5-64","Seeds and grains",54.7488734008024,13.8455562754109,146.510220255985
"110","Cases","Non-typhoidal Salmonella","Reactive arthritis","5-64","Shellfish",10.4847608256779,2.56333714328994,29.0410638925286
"111","Cases","Non-typhoidal Salmonella","Reactive arthritis","5-64","Vegetables",291.96423368609,74.8513887664645,759.352542373585
"112","Cases","Non-typhoidal Salmonella","Reactive arthritis","5-64","AllFood",3571.89541837733,938.021768006992,8834.5086925154
"113","Cases","Non-typhoidal Salmonella","Reactive arthritis","65+","Beef",48.5728824486409,11.9918830639834,134.436287800865
"114","Cases","Non-typhoidal Salmonella","Reactive arthritis","65+","Dairy",8.86957352699021,2.22496966760446,23.9980135283692
"115","Cases","Non-typhoidal Salmonella","Reactive arthritis","65+","Eggs",292.806777196308,74.7175136316363,763.950308112071
"116","Cases","Non-typhoidal Salmonella","Reactive arthritis","65+","Fin fish",0.953702747179794,0.236971391350813,2.5668005992297
"117","Cases","Non-typhoidal Salmonella","Reactive arthritis","65+","Fruit",19.4173734037374,4.63741703091389,57.1861633960524
"118","Cases","Non-typhoidal Salmonella","Reactive arthritis","65+","Lamb",39.592604852443,9.70491003929593,111.191789093194
"119","Cases","Non-typhoidal Salmonella","Reactive arthritis","65+","Nuts",32.2879136163725,7.67063049970242,95.4570507397575
"120","Cases","Non-typhoidal Salmonella","Reactive arthritis","65+","Other",13.9080658137503,3.53334784938227,36.5696286010953
"121","Cases","Non-typhoidal Salmonella","Reactive arthritis","65+","Pork",69.0877649171935,16.8589103768182,194.490957853557
