"","Pathogen","AgeGroup","Disease","CostCategory","median","5%","95%"
"447","Salmonella Typhi","All Ages","All Diseases","FrictionHigh",28283.8923886291,9239.32147660397,59783.2648197384
"448","Salmonella Typhi","All Ages","All Diseases","FrictionLow",10606.4596457359,3464.74555372649,22418.7243074019
"449","Salmonella Typhi","All Ages","All Diseases","HumanCapital",35354.8654857863,11549.151845755,74729.0810246731
"450","Salmonella Typhi","All Ages","All Diseases","WTP",18010.9030418437,5883.50857092211,38069.3919846073
"451","Salmonella Typhi","All Ages","Typhoid Fever","Deaths",110685.582440252,14134.3691943026,421909.664728187
"452","Salmonella Typhi","All Ages","Typhoid Fever","Direct",271442.637503919,88864.8023742498,572630.751568096
"453","Salmonella Typhi","All Ages","Typhoid Fever","FrictionHigh",28283.8923886291,9239.32147660397,59783.2648197384
"454","Salmonella Typhi","All Ages","Typhoid Fever","FrictionLow",10606.4596457359,3464.74555372649,22418.7243074019
"455","Salmonella Typhi","All Ages","Typhoid Fever","HumanCapital",35354.8654857863,11549.151845755,74729.0810246731
"456","Salmonella Typhi","All Ages","Typhoid Fever","WTP",18010.9030418437,5883.50857092211,38069.3919846073
"457","Shigella","<5","All Diseases","Deaths",137844.438814511,27560.6154723763,590990.690623637
"458","Shigella","<5","All Diseases","Direct",103850.20009543,63123.7879860016,159925.043405782
"459","Shigella","<5","All Diseases","FrictionHigh",106308.989569342,38935.6914176289,239886.968892067
"460","Shigella","<5","All Diseases","FrictionLow",39865.8710885033,14600.8842816108,89957.6133345251
"461","Shigella","<5","All Diseases","HumanCapital",132886.236961678,48669.6142720361,299858.711115084
"462","Shigella","<5","All Diseases","WTP",88722.6262656441,30683.428626985,203836.813825631
"463","Shigella","<5","IBS","Deaths",188.077717931177,1.74668610494593,2531.90168166883
"464","Shigella","<5","IBS","Direct",10354.7527991914,3584.1955701858,23720.1682237675
"465","Shigella","<5","IBS","FrictionHigh",18665.4474305202,6464.93364939403,43380.6028215559
"466","Shigella","<5","IBS","FrictionLow",6999.54278644506,2424.35011852276,16267.7260580834
"467","Shigella","<5","IBS","HumanCapital",23331.8092881502,8081.16706174253,54225.7535269448
"468","Shigella","<5","IBS","WTP",29144.9574150066,9274.56582721444,69612.2392384415
"469","Shigella","<5","ReactiveArthritis","Deaths",602.512399329608,6.16103853934954,7691.53990125847
"470","Shigella","<5","ReactiveArthritis","Direct",7835.17483297479,2548.93812745735,20446.1389183897
"471","Shigella","<5","ReactiveArthritis","FrictionHigh",34901.4934449376,11609.0186767842,82285.9672201488
"472","Shigella","<5","ReactiveArthritis","FrictionLow",13088.0600418516,4353.38200379407,30857.2377075558
"473","Shigella","<5","ReactiveArthritis","HumanCapital",43626.8668061719,14511.2733459802,102857.459025186
"474","Shigella","<5","ReactiveArthritis","WTP",20780.0791581698,6853.67015435634,49719.3384101324
"475","Shigella","<5","Shigellosis","Deaths",135627.530009138,26400.3511046203,590454.036208967
"476","Shigella","<5","Shigellosis","Direct",83980.2410478844,53783.3205108128,126163.84874925
"477","Shigella","<5","Shigellosis","FrictionHigh",51278.2519923715,19117.5933110577,124298.145865258
"478","Shigella","<5","Shigellosis","FrictionLow",19229.3444971393,7169.09749164662,46611.8046994717
"479","Shigella","<5","Shigellosis","HumanCapital",64097.8149904644,23896.9916388221,155372.682331572
"480","Shigella","<5","Shigellosis","WTP",38048.7081832855,13937.2492650781,86050.9241734806
"481","Shigella","5-64","All Diseases","Deaths",463800.099565639,128591.135529866,1270676.08794303
"482","Shigella","5-64","All Diseases","Direct",532248.822842857,335711.261122512,877110.441920528
"483","Shigella","5-64","All Diseases","FrictionHigh",749862.81399232,278888.113409799,1755634.51343696
